|                   |        100 |       1000 |       10000 |       100000 |
|:------------------|-----------:|-----------:|------------:|-------------:|
| rf_fit_time       | 0.195217   | 1.18219    | 14.2541     | 195.549      |
| rf_score_time     | 0.0375371  | 0.0929361  |  0.648768   |   7.79043    |
| rf_test_r2        | 0.499759   | 0.612084   |  0.701769   |   0.841955   |
| rf_test_rmse      | 0.00295636 | 0.00273804 |  0.00252572 |   0.00183605 |
| rf_test_mae       | 0.00226944 | 0.00193151 |  0.00173621 |   0.00109436 |
| rf_test_maxae     | 0.0142284  | 0.0182649  |  0.0240599  |   0.0261396  |
| linear_fit_time   | 0.0520096  | 0.00622582 |  0.020244   |   0.163647   |
| linear_score_time | 0.00163994 | 0.00301466 |  0.0278499  |   0.191185   |
| linear_test_r2    | 0.675439   | 0.694626   |  0.716732   |   0.713826   |
| linear_test_rmse  | 0.00243673 | 0.00250371 |  0.00248926 |   0.00249087 |
| linear_test_mae   | 0.00172409 | 0.00172341 |  0.00171454 |   0.00171825 |
| linear_test_maxae | 0.0140124  | 0.018512   |  0.0237291  |   0.0261148  |
